"Stotelės Nr.","Pavadinimas","Lng","Lat"
"2362","Pramonės st.","25.41865","54.69448"
"2363","Pramonės st.","25.41807","54.69435"
"2364","Rugiagėlių st.","25.42021","54.69608"
"2365","Rugiagėlių st.","25.42181","54.69626"
"2366","Bičių st.","25.42966","54.69768"
"2367","Bičių st.","25.42837","54.69735"
"2368","Neries st.","25.42939","54.69572"
"2369","Neries st.","25.42869","54.69563"
"2370","Linksmoji st.","25.43593","54.69508"
"2371","Linksmoji st.","25.43604","54.69518"
"2372","Naujoji Vilnia","25.44039","54.69523"
"2373","Užkiemio st.","25.43281","54.69889"
"2374","Užkiemio st.","25.43283","54.69908"
"2375","Arimų st.","25.43145","54.70248"
"2376","Alberto Kojelavičiaus st.","25.39634","54.69503"
"2376a","Alberto Kojelavičiaus st.","25.3971","54.69461"
"2377","Kalno st.","25.39314","54.70491"
"2378","Naujosios Vilnios žiedas","25.42889","54.68543"
"2379","Naujoji Vilnia","25.43904","54.69526"
"2380 Regio","Polocko kryptis","25.46002","54.69237"
"2381 Regio","Polocko kryptis","25.45939","54.69259"
"2382 Regio","Viktariškės","25.48062","54.69346"
"2383 Regio","Viktariškės","25.47763","54.69299"
"2384 Regio","Lyta","25.49468","54.69852"
"2385 Regio","Lyta","25.49333","54.69808"
"2386 Regio","Mickūnai","25.5165","54.70245"
"2387 Regio","Verbų st.","25.44467","54.69446"
"2388 Regio","Verbų st.","25.44464","54.69455"
"2389","Naujoji Vilnia","25.44217","54.6948"
"2390","Naujoji Vilnia","25.44065","54.69507"
"2391","Uosių sodai","25.38691","54.70754"
"2392","Uosių sodai","25.38548","54.7077"
"2393","Rokantiškių sodai","25.37578","54.7059"
"2394","Rokantiškių sodai","25.37675","54.70606"
"2395","Anapilio st.","25.35853","54.70764"
"2395a","Iki pareikalavimo","25.35701","54.71018"
"2395b","Iki pareikalavimo","25.35777","54.70981"
"2396","Anapilio st.","25.3584","54.70771"
"2397","Viršupio sodai","25.35319","54.71267"
"2398","Viršupio sodai","25.3526","54.71332"
"2399","Mileišiškių sodai","25.34809","54.71312"
"2400","Mileišiškių sodai","25.34743","54.71297"
"2401","Eigulių st.","25.23547","54.669"
"2402","Burbiškės","25.25275","54.6668"
"2402a","Burbiškės","25.25335","54.66609"
"2404","Vilkpėdės st.","25.23679","54.66478"
"2405","Vilkpėdės st.","25.23548","54.66331"
"2406","Riovonys","25.23359","54.65967"
"2406a","UAB ""Silikatas""","25.23354","54.66025"
"2407","Riovonys","25.23233","54.65893"
"2408","Pakalniškių st.","25.22513","54.65453"
"2408aa","Pakalniškių st.","25.22409","54.65395"
"2409","Pakalniškių st.","25.22384","54.65416"
"2410","Baldai","25.21825","54.65066"
"2411","Baldai","25.21614","54.64983"
